 energy, unc, intensity %, unc,daughter level energy,end level energy,X-ray, shell,multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
938.65,0.16,0.013,0.004,2785.96,1847.443,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
939.6,0.5,0.017,0.006,2482.468,1543.372,,,[M1 E2],,,0.016, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
943.33,0.11,0.017,0.002,2604.68,1661.279,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
949.8,0.5,0.0055,0.0023,2662.31,1712.97,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
952.2,0.8,0.0059,0.0023,2694.62,1742.98,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
961.62,0.17,0.0101,0.0013,2505.37,1543.372,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
964.08,0.03,0.365,0.01,2728.609,1764.515,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
965,0.1,0.011,0.003,2508.17,1543.372,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
965,0.1, , ,2694.62,1729.609,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
976.18,0.12,0.0154,0.0021,2719.27,1742.98,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
989.34,0.17,0.01,0.003, , ,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
991.49,0.19,0.011,0.002,2266.41,1274.766,,,[E1],,,0.00276, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
1011.8,0.8, , ,3022.3,2010.83,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
1013.4,0.7,0.013,0.004,2860.89,1847.443,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
1021.36,0.17,0.015,0.0023,2785.96,1764.515,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
1032.38,0.07,0.063,0.004,2447.702,1415.495,,,[E1],,,0.00257, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
1033.3,0.2,0.02,0.003,2694.62,1661.279,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
1038,0.2,0.0084,0.0011,2698.76,1661.279,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
1038,0.2, , ,2802.53,1764.515,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
