,Energy,Detector,Nuclide,is_InCas,Daughter,x100mm,dx100mm,x13mm,dx13mm,z,dz,sim_z
67,1085.837,A2,152Eu,1,152Sm,0.00147937054216,1.00434597130669e-05,0.007588599168007,5.76603518016148e-05,1.05609684299186,0.0188091159354224,1.09705
68,1085.837,A3,152Eu,1,152Sm,0.001532265583486,1.03987464912421e-05,0.00805338252899,6.09769748563852e-05,0.967831472428758,0.0172247214014551,1.09429
69,1085.837,B0,152Eu,1,152Sm,0.00170246722204,1.15271657286912e-05,0.007708415552386,5.81665562430038e-05,1.06609440816458,0.0189537827970782,1.10437
70,1085.837,B1,152Eu,1,152Sm,0.001588017712812,1.07635878284777e-05,0.007236887313997,5.49347005545904e-05,1.05018118682805,0.0186965134444143,1.06712
71,1085.837,B2,152Eu,1,152Sm,0.001612937065897,1.09311402768366e-05,0.007215096924262,5.49270375605702e-05,1.11612311703584,0.0198802298416489,1.08561
72,1085.837,B3,152Eu,1,152Sm,0.001632356782127,1.10603012445897e-05,0.007359123458328,5.57936535293209e-05,1.14254815950271,0.0203326509390458,1.08984
73,1089.737,A0,152Eu,1,152Gd,0.001532661655877,1.15768504841445e-05,0.007488993930223,9.81986634070647e-05,NA,NA,1.0565
74,1089.737,A1,152Eu,1,152Gd,0.001105821669708,9.10546981848281e-06,0.008196818580144,0.000101391553643,0.731412378245669,0.0152375332257992,1.05014
75,1089.737,A2,152Eu,1,152Gd,0.001498001783641,1.12481350735339e-05,0.007681625369483,9.59965839820087e-05,1.05644672026772,0.0218029408596383,1.05041
76,1089.737,A3,152Eu,1,152Gd,0.001914150586892,1.50818456255348e-05,0.009801411815997,0.000144492358053,0.993416767226452,0.022052122337905,1.03139
77,1089.737,B0,152Eu,1,152Gd,0.00173992696584,1.30794062656022e-05,0.007740762192814,0.00010486644362,1.08499895206616,0.0231014605981379,1.06719
78,1089.737,B1,152Eu,1,152Gd,0.0015884666819,1.17926761108921e-05,0.007735662524937,9.4487323221036e-05,0.982746027320732,0.0200850072193019,1.05785
79,1089.737,B2,152Eu,1,152Gd,0.001549624413804,1.1648113542132e-05,0.007329951150382,9.19997366230973e-05,1.05550967910966,0.0218215465318716,1.10223
80,1089.737,B3,152Eu,1,152Gd,0.001663987580411,1.24673987853518e-05,0.007497511944185,9.66700423404433e-05,1.14319003489852,0.0238619200491594,1.05386
81,1112.076,A0,152Eu,1,152Sm,0.001445910649529,8.00506824438234e-06,0.006980834504596,4.43985184265602e-05,NA,NA,1.10629
82,1112.076,A1,152Eu,1,152Sm,0.001607937968451,8.88044840635508e-06,0.007698030209455,4.81783419780705e-05,1.13243220613615,0.0190463530496665,1.13042
83,1112.076,A2,152Eu,1,152Sm,0.001436440650649,7.95276853381296e-06,0.007064394892164,4.47365888656585e-05,1.10154212691093,0.0185676885648592,1.11543
84,1112.076,A3,152Eu,1,152Sm,0.001497991734101,8.28737979333146e-06,0.007427560545472,4.79727155125961e-05,1.0259052167362,0.0173398493226199,1.14997
85,1112.076,B0,152Eu,1,152Sm,0.001647136855407,9.09200318019677e-06,0.007039070723872,4.43555740684257e-05,1.12952638802809,0.0190174846168606,1.11338
86,1112.076,B1,152Eu,1,152Sm,0.001553891702149,8.58571876917151e-06,0.006757284273673,4.27553048011271e-05,1.100548686435,0.0185451928894725,1.11271
87,1112.076,B2,152Eu,1,152Sm,0.001540341447847,8.51398496275348e-06,0.006754201907501,4.27549051146259e-05,1.13862263530119,0.0191883987294135,1.09989
88,1112.076,B3,152Eu,1,152Sm,0.001589534638369,8.77974712373574e-06,0.007032762309789,4.42649283792793e-05,1.16420530146425,0.0195997728085872,1.16706
89,1212.948,A0,152Eu,1,152Sm,0.00129950711937,1.07406543673377e-05,0.005952118629412,8.80992130671569e-05,NA,NA,1.05494
90,1212.948,A1,152Eu,1,152Sm,0.001454842707305,1.18215178994299e-05,0.006637394520848,9.21034458267911e-05,1.18834061789188,0.0258115766970176,1.10148
91,1212.948,A2,152Eu,1,152Sm,0.001308628351778,1.07804547904579e-05,0.00592476885171,8.75398634809512e-05,1.19655676178253,0.0267436324682901,1.0595
92,1212.948,A3,152Eu,1,152Sm,0.00134513193409,1.10727587360324e-05,0.006273549140854,0.000140442832984,1.09067560866275,0.0305052521670929,1.0693
93,1212.948,B0,152Eu,1,152Sm,0.001482534419482,1.20225329268375e-05,0.006098054532411,8.71834495205493e-05,1.17353354033361,0.0258034218474465,1.0782
94,1212.948,B1,152Eu,1,152Sm,0.001410260572056,1.14606954254841e-05,0.006028254095699,8.59858842826425e-05,1.11961450481706,0.0246031752591189,1.08153
95,1212.948,B2,152Eu,1,152Sm,0.001389804574565,1.13731614929538e-05,0.005654676878158,8.3542807428325e-05,1.22710801875269,0.0274010274079441,1.07673
96,1212.948,B3,152Eu,1,152Sm,0.001440883077287,1.17186779565913e-05,0.005996952214335,8.55366397398831e-05,1.2376095968506,0.0271962361291867,1.09309
97,1299.142,A0,152Eu,1,152Gd,0.001243812584094,1.20061486184499e-05,0.005966762642805,7.38348783076876e-05,NA,NA,1.04572
98,1299.142,A1,152Eu,1,152Gd,0.001378365955221,1.00135486614908e-05,0.006684048024446,7.85072448242501e-05,1.11801468747101,0.022470144285543,1.04187
99,1299.142,A2,152Eu,1,152Gd,0.001237728127392,9.0321466161173e-06,0.006122746347191,7.4825884631693e-05,1.09513430691385,0.022335801767811,1.05073
100,1299.142,A3,152Eu,1,152Gd,0.001281824861787,9.32944950255355e-06,0.006355829297373,7.75278410777319e-05,1.0258892714557,0.0209019144901467,1.00887
